,HomeTeam,AwayTeam,FTHG,FTAG,total_goal_count,total_goals_at_half_time,HTHG,HTAG,HC,AC,HY,AY,HR,AR,HS,AS,HST,AST,HF,AF,Date,PSH,PSD,PSA,B365H,B365D,B365A
0,Stal Mielec,Radomiak Radom,1,1,2,0,0,0,6,3,2,0,3,0,9,15,5,7,13,16,2022-07-25,3.18,3.28,2.45,2.87,3.15,2.46
1,Piast Gliwice,Stal Mielec,4,0,4,1,1,0,5,2,2,0,2,0,16,5,10,2,18,15,2022-08-21,1.74,3.72,5.27,1.72,3.58,4.77
2,Radomiak Radom,Korona Kielce,0,2,2,1,0,1,9,6,1,0,4,0,13,8,2,3,13,18,2022-08-27,1.75,3.61,5.51,1.68,3.62,5.04
