,HomeTeam,AwayTeam,FTHG,FTAG,total_goal_count,total_goals_at_half_time,HTHG,HTAG,HC,AC,HY,AY,HR,AR,HS,AS,HST,AST,HF,AF,HomeTeamPre-MatchxG,AwayTeamPre-MatchxG,Date,PSH,PSD,PSA,B365H,B365D,B365A
34,Bragantino,Juventude,1,0,1,1,1,0,7,5,1,0,1,0,24,10,6,4,11,15,1.89,1.19,2022-07-31,1.59,3.88,6.59,1.55,3.91,6.33
35,Fortaleza,Internacional,3,0,3,1,1,0,7,5,1,1,5,0,17,9,7,3,12,15,1.95,1.42,2022-08-07,1.74,3.76,5.08,1.76,3.58,4.78
36,Corinthians,Palmeiras,0,1,1,0,0,0,5,3,2,0,2,0,16,11,4,5,15,10,1.53,1.9,2022-08-13,3.51,3.02,2.4,3.39,3.01,2.33
37,Internacional,Fluminense,3,0,3,1,1,0,6,5,1,0,1,0,17,10,7,0,21,12,1.85,1.51,2022-08-14,2.49,3.14,3.19,2.41,3.12,3.11
38,Fluminense,Coritiba,5,2,7,2,2,0,11,3,1,0,2,0,16,9,6,4,13,13,1.93,1.6,2022-08-20,1.39,4.86,8.99,1.37,4.75,8.46
39,Fortaleza,Corinthians,1,0,1,0,0,0,4,7,1,0,2,0,14,8,6,2,14,7,1.93,1.31,2022-08-21,1.94,3.3,4.61,1.93,3.22,4.39
40,Fluminense,Palmeiras,1,1,2,2,1,1,3,3,3,0,3,0,18,8,7,3,16,16,1.93,1.83,2022-08-27,3.19,3.14,2.46,3.02,3.16,2.44
41,Corinthians,Bragantino,1,0,1,1,1,0,5,5,1,0,1,0,10,12,5,6,11,8,1.54,1.66,2022-08-30,2.05,3.14,4.38,2.04,3.05,4.18
42,Bragantino,Palmeiras,2,2,4,3,2,1,2,11,4,0,4,0,13,13,4,6,14,12,2.03,1.77,2022-09-03,2.67,3.06,3.02,2.63,3.02,2.87
43,Corinthians,Internacional,2,2,4,3,2,1,2,8,2,0,2,0,14,15,5,3,10,14,1.53,1.44,2022-09-04,2.44,2.95,3.53,2.39,2.94,3.38
44,Fluminense,Fortaleza,2,1,3,1,1,0,5,6,1,0,2,0,15,17,6,6,7,19,1.94,1.3,2022-09-10,1.72,3.63,5.57,1.7,3.58,5.24
45,Palmeiras,Juventude,2,1,3,0,0,0,14,3,0,0,3,0,24,7,13,2,6,15,2.28,1.13,2022-09-11,1.17,7.33,19.54,1.17,6.8,16.67
46,Juventude,Fortaleza,1,1,2,1,0,1,14,2,2,0,3,0,21,13,7,4,14,17,1.81,1.33,2022-09-18,3.38,3.22,2.34,3.32,3.14,2.27
47,Palmeiras,Santos,1,0,1,0,0,0,8,5,3,1,4,0,21,15,4,4,3,0,2.34,1.36,2022-09-18,1.39,4.7,9.59,1.38,4.64,8.69
48,Fluminense,Juventude,4,0,4,2,2,0,5,5,1,0,1,0,22,12,8,4,5,9,1.93,1.09,2022-09-28,1.36,5.37,9.3,1.34,5.06,8.39
49,Internacional,Bragantino,0,0,0,0,0,0,6,3,1,0,2,0,15,12,7,5,14,15,1.97,1.58,2022-09-29,1.91,3.55,4.44,1.89,3.44,4.18
50,Internacional,Santos,1,0,1,1,1,0,2,5,1,0,4,0,11,12,5,3,7,13,1.96,1.37,2022-10-01,1.73,3.59,5.56,1.72,3.53,5.18
51,Juventude,Corinthians,2,2,4,1,0,1,2,5,1,0,2,0,21,14,3,7,9,7,1.83,1.33,2022-10-05,4.68,3.3,1.95,4.45,3.27,1.9
52,Palmeiras,Coritiba,4,0,4,2,2,0,9,6,1,0,2,0,18,13,11,4,16,13,2.32,1.59,2022-10-06,1.23,6.5,13.64,1.23,6.25,12.04
53,Coritiba,Bragantino,2,1,3,2,1,1,5,8,0,1,3,0,7,20,3,6,7,12,1.64,1.52,2022-10-09,2.51,3.2,3.15,2.51,3.1,2.96
54,Santos,Corinthians,0,1,1,0,0,0,7,4,2,1,4,1,8,5,0,3,15,11,1.89,1.36,2022-10-22,2.65,2.9,3.27,2.59,2.86,3.13
55,Coritiba,Internacional,1,1,2,1,1,0,7,6,3,0,1,0,15,13,3,5,16,10,1.59,1.47,2022-10-23,4.2,3.47,1.99,3.99,3.39,1.95
56,Corinthians,Fluminense,0,2,2,1,0,1,6,3,2,0,3,0,14,16,6,8,16,9,1.57,1.52,2022-10-27,2.28,3.12,3.72,2.23,3.09,3.49
57,Fortaleza,Coritiba,3,1,4,1,1,0,3,3,1,0,1,1,16,16,8,7,15,12,1.8,1.56,2022-10-27,1.46,4.51,7.98,1.45,4.33,7.05
58,Juventude,Coritiba,0,1,1,0,0,0,4,4,3,0,4,0,12,24,4,6,11,18,1.84,1.57,2022-11-02,2.59,3.27,2.98,2.54,3.15,2.88
59,Palmeiras,Fortaleza,4,0,4,2,2,0,4,2,3,0,1,0,23,9,5,4,11,16,2.36,1.34,2022-11-03,1.44,4.85,7.65,1.45,4.55,6.85
60,Coritiba,Corinthians,2,2,4,3,2,1,5,7,4,0,5,1,16,10,7,4,15,8,1.57,1.36,2022-11-09,2.94,3.07,2.77,2.82,2.96,2.73
61,Fortaleza,Bragantino,6,0,6,4,4,0,7,0,1,0,4,0,26,4,14,2,17,12,1.83,1.52,2022-11-09,1.82,3.78,4.64,1.81,3.58,4.39
62,Bragantino,Fluminense,0,1,1,1,0,1,4,9,3,0,2,0,4,6,3,4,16,15,1.94,1.56,2022-11-13,2.49,3.69,2.82,2.4,3.53,2.76
63,Santos,Fortaleza,0,2,2,0,0,0,5,7,1,0,3,0,4,7,0,3,17,14,1.8,1.33,2022-11-13,3.29,3.47,2.29,3.2,3.3,2.24
64,Internacional,Palmeiras,3,0,3,2,2,0,6,5,2,0,3,0,9,2,6,0,13,17,1.95,1.81,2022-11-13,2.6,3.59,2.74,2.49,3.45,2.72
