,bankroll,alpha,binarize,fit_priorbool,span_value,test_size_value,ROI,Number_of_bets,0
54,,0.01,0.01,False,0.2,5,-0.08638596491228052,285,75.38000000000005
55,,0.01,0.01,False,0.2,6,-0.04829166666666644,240,88.41000000000005
56,,0.01,0.01,False,0.2,7,-0.10213793103448258,290,70.38000000000005
57,,0.01,0.01,False,0.2,8,-0.06136929460580892,241,85.21000000000005
58,,0.01,0.01,False,0.2,9,-0.10508650519031124,289,69.63000000000005
59,,0.01,0.01,False,0.2,10,-0.10320689655172396,290,70.07000000000005
60,,0.01,0.01,False,0.3,1,-0.36966022651565617,1501,-454.8599999999999
61,,0.01,0.01,False,0.3,2,-0.40317689530685924,1108,-346.72
62,,0.01,0.01,False,0.3,3,-0.41140311804008917,449,-84.72000000000001
63,,0.01,0.01,False,0.3,4,-0.3841383989145183,737,-183.10999999999996
64,,0.01,0.01,False,0.3,5,-0.41794230769230767,1040,-334.65999999999997
65,,0.01,0.01,False,0.3,6,-0.38373205741626804,418,-60.40000000000002
66,,0.01,0.01,False,0.3,7,-0.3528700906344411,662,-133.6
67,,0.01,0.01,False,0.3,8,-0.402258064516129,1209,-386.3299999999999
68,,0.01,0.01,False,0.3,9,-0.38666666666666677,420,-62.40000000000002
69,,0.01,0.01,False,0.3,10,-0.42610766045548654,966,-311.62
70,,0.01,0.01,False,0.4,1,-0.5391477272727272,2112,-1038.6799999999998
71,,0.01,0.01,False,0.4,2,-0.4904732510288067,1458,-615.1100000000001
72,,0.01,0.01,False,0.4,3,-0.4890597117364447,1457,-612.56
73,,0.01,0.01,False,0.4,4,-0.48414908579465543,1422,-588.46
74,,0.01,0.01,False,0.4,5,-0.509771332961517,1793,-814.02
75,,0.01,0.01,False,0.4,6,-0.5118899082568806,545,-178.97999999999996
76,,0.01,0.01,False,0.4,7,-0.5156593406593406,546,-181.54999999999995
77,,0.01,0.01,False,0.4,8,-0.5089761354888375,1299,-561.1599999999999
78,,0.01,0.01,False,0.4,9,-0.5145475819032761,1282,-559.65
79,,0.01,0.01,False,0.4,10,-0.5117460317460317,1260,-544.8
80,,0.01,0.1,True,0.1,1,-0.10633333333333338,510,45.769999999999975
81,,0.01,0.1,True,0.1,2,-0.15244755244755243,143,78.2
82,,0.01,0.1,True,0.1,3,-0.12902985074626871,134,82.71
83,,0.01,0.1,True,0.1,4,-0.15403508771929839,114,82.43999999999998
84,,0.01,0.1,True,0.1,5,-0.17776785714285737,112,80.08999999999997
85,,0.01,0.1,True,0.1,6,-0.11261194029850749,134,84.91
86,,0.01,0.1,True,0.1,7,-0.11416058394160584,137,84.36
87,,0.01,0.1,True,0.1,8,-0.20600000000000024,110,77.33999999999997
88,,0.01,0.1,True,0.1,9,0.009967105263158133,304,103.03000000000007
89,,0.01,0.1,True,0.1,10,-0.13433823529411773,136,81.72999999999999
90,,0.01,0.1,True,0.2,1,-0.0688805970149253,1072,26.160000000000082
91,,0.01,0.1,True,0.2,2,-0.09743859649122791,285,72.23000000000005
92,,0.01,0.1,True,0.2,3,-0.110299003322259,301,66.80000000000004
